Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
LEE	Lee	10218	11/04/2014	2014 General Election	4	POLL 004	3477	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	591
LEE	Lee	10218	11/04/2014	2014 General Election	4	POLL 004	3477	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	616
LEE	Lee	10218	11/04/2014	2014 General Election	4	POLL 004	3477	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	35
LEE	Lee	10218	11/04/2014	2014 General Election	4	POLL 004	3477	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	2
LEE	Lee	10218	11/04/2014	2014 General Election	4	POLL 004	3477	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	1
LEE	Lee	10218	11/04/2014	2014 General Election	4	POLL 004	3477	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	46
LEE	Lee	10218	11/04/2014	2014 General Election	6	POLL 006	2045	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	387
LEE	Lee	10218	11/04/2014	2014 General Election	6	POLL 006	2045	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	356
LEE	Lee	10218	11/04/2014	2014 General Election	6	POLL 006	2045	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	29
LEE	Lee	10218	11/04/2014	2014 General Election	6	POLL 006	2045	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	0
LEE	Lee	10218	11/04/2014	2014 General Election	6	POLL 006	2045	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	1
LEE	Lee	10218	11/04/2014	2014 General Election	6	POLL 006	2045	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	29
LEE	Lee	10218	11/04/2014	2014 General Election	7	POLL 007	3753	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	282
LEE	Lee	10218	11/04/2014	2014 General Election	7	POLL 007	3753	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	905
LEE	Lee	10218	11/04/2014	2014 General Election	7	POLL 007	3753	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	31
LEE	Lee	10218	11/04/2014	2014 General Election	7	POLL 007	3753	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	5
LEE	Lee	10218	11/04/2014	2014 General Election	7	POLL 007	3753	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	2
LEE	Lee	10218	11/04/2014	2014 General Election	7	POLL 007	3753	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	39
LEE	Lee	10218	11/04/2014	2014 General Election	8	POLL 008	3806	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	441
LEE	Lee	10218	11/04/2014	2014 General Election	8	POLL 008	3806	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	976
LEE	Lee	10218	11/04/2014	2014 General Election	8	POLL 008	3806	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	39
LEE	Lee	10218	11/04/2014	2014 General Election	8	POLL 008	3806	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	1
LEE	Lee	10218	11/04/2014	2014 General Election	8	POLL 008	3806	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	2
LEE	Lee	10218	11/04/2014	2014 General Election	8	POLL 008	3806	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	40
LEE	Lee	10218	11/04/2014	2014 General Election	9	POLL 009	3916	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	608
LEE	Lee	10218	11/04/2014	2014 General Election	9	POLL 009	3916	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	612
LEE	Lee	10218	11/04/2014	2014 General Election	9	POLL 009	3916	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	41
LEE	Lee	10218	11/04/2014	2014 General Election	9	POLL 009	3916	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	1
LEE	Lee	10218	11/04/2014	2014 General Election	9	POLL 009	3916	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	0
LEE	Lee	10218	11/04/2014	2014 General Election	9	POLL 009	3916	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	28
LEE	Lee	10218	11/04/2014	2014 General Election	10	POLL 010	2244	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	853
LEE	Lee	10218	11/04/2014	2014 General Election	10	POLL 010	2244	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	324
LEE	Lee	10218	11/04/2014	2014 General Election	10	POLL 010	2244	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	20
LEE	Lee	10218	11/04/2014	2014 General Election	10	POLL 010	2244	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	1
LEE	Lee	10218	11/04/2014	2014 General Election	10	POLL 010	2244	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	0
LEE	Lee	10218	11/04/2014	2014 General Election	10	POLL 010	2244	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	39
LEE	Lee	10218	11/04/2014	2014 General Election	11	POLL 011	3286	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	1133
LEE	Lee	10218	11/04/2014	2014 General Election	11	POLL 011	3286	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	732
LEE	Lee	10218	11/04/2014	2014 General Election	11	POLL 011	3286	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	54
LEE	Lee	10218	11/04/2014	2014 General Election	11	POLL 011	3286	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	3
LEE	Lee	10218	11/04/2014	2014 General Election	11	POLL 011	3286	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	1
LEE	Lee	10218	11/04/2014	2014 General Election	11	POLL 011	3286	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	49
LEE	Lee	10218	11/04/2014	2014 General Election	12	POLL 012	2584	0	0	0	U.S. Representative	 District 19	140190	Curt Clawson	REP	119336537	61335	1002
LEE	Lee	10218	11/04/2014	2014 General Election	12	POLL 012	2584	0	0	0	U.S. Representative	 District 19	140190	April Freeman	DEM	118485187	60363	546
LEE	Lee	10218	11/04/2014	2014 General Election	12	POLL 012	2584	0	0	0	U.S. Representative	 District 19	140190	Ray Netherwood	LPF	108876138	61457	41
LEE	Lee	10218	11/04/2014	2014 General Election	12	POLL 012	2584	0	0	0	U.S. Representative	 District 19	140190	WriteinVotes	 	0	900	1
